ID,Source Name,Scheme/Scope,Information Covered,Official URL,Purpose
1,SBI Large Cap Fund – Official Scheme Page,SBI Large Cap Fund,Scheme information,https://www.sbimf.com/sbimf-scheme-details/sbi-large-cap-fund-%28formerly-known-as-sbi-bluechip-fund%29-43,Primary scheme source
2,SBI Large Cap Fund – May 2026 Factsheet,SBI Large Cap Fund,Factsheet / current scheme facts,https://www.sbimf.com/docs/default-source/scheme-factsheets/sbi-largecap-fund-factsheet-may-2026.pdf?sfvrsn=3ed28a10_2,Primary current facts source
3,SBI Large Cap Fund – KIM,SBI Large Cap Fund,KIM / benchmark / risk details,https://www.sbimf.com/docs/default-source/sif-forms/kim---sbi-large-cap-fund-%28formerly-known-as-bluechip-fund%29.pdf?sfvrsn=d8f1e840_0,Primary scheme document
4,SBI Flexicap Fund – Official Scheme Page,SBI Flexicap Fund,Scheme information,https://www.sbimf.com/sbimf-scheme-details/sbi-flexicap-fund-39,Primary scheme source
5,SBI Flexicap Fund – Factsheet,SBI Flexicap Fund,Factsheet / current scheme facts,https://www.sbimf.com/docs/default-source/scheme-factsheets/sbi-flexicap-fund-factsheet-ef2f506c-5c53-448d-b8e4-cb486682255f.pdf?sfvrsn=670e783_2,Primary current facts source
6,SBI Flexicap Fund – KIM,SBI Flexicap Fund,KIM / scheme structure,https://www.sbimf.com/docs/default-source/scheme-portfolios/default-library/kim---sbi-flexicap-fundec2d6f6fd31642cb935f76d32c8c317c.pdf?sfvrsn=493b2dd8_0,Primary scheme document
7,SBI Small Cap Fund – Official Scheme Page,SBI Small Cap Fund,Scheme information,https://www.sbimf.com/sbimf-scheme-details/sbi-small-cap-fund-329,Primary scheme source
8,SBI Small Cap Fund – Factsheet,SBI Small Cap Fund,Factsheet / scheme facts,https://www.sbimf.com/docs/default-source/scheme-factsheets/sbi-small-cap-fund-factsheet-november-2025.pdf?sfvrsn=edd86c7e_2,Primary scheme facts source
9,SBI Small Cap Fund – KIM,SBI Small Cap Fund,KIM / SIP / scheme structure,https://www.sbimf.com/docs/default-source/sif-forms/kim---sbi-small-cap-fund.pdf?sfvrsn=242fcb9c_0,Primary scheme document
10,SBI ELSS Tax Saver Fund – Official Scheme Page,SBI ELSS Tax Saver Fund,ELSS / lock-in / scheme information,https://www.sbimf.com/campaign/sbi-elss-tax-saver-fund,Primary ELSS source
11,SBI ELSS Tax Saver Fund – May 2026 Factsheet,SBI ELSS Tax Saver Fund,Factsheet / current scheme facts,https://www.sbimf.com/docs/default-source/scheme-factsheets/sbi-elss-tax-saver-fund-factsheet-may-2026.pdf?sfvrsn=f9210bee_2,Primary current facts source
12,SBI ELSS Tax Saver Fund – SID,SBI ELSS Tax Saver Fund,SID / scheme disclosures / benchmark,https://www.sbimf.com/docs/default-source/sif-forms/sid---sbi-elss-tax-saver-fund.pdf,Primary scheme document
13,SBI Mutual Fund – Offer Documents / SID / KIM,SBI Mutual Fund,Official document repository,https://www.sbimf.com/offer-document-sid-kim,Official document discovery/reference
14,SBI Mutual Fund – Factsheets,SBI Mutual Fund,Official factsheet repository,https://www.sbimf.com/factsheets,Official factsheet discovery/reference
15,SBI Mutual Fund – TER Change Notice,SBI Mutual Fund,Expense ratio / TER,https://www.sbimf.com/docs/default-source/expense-ratio/base-ter-change-w-e-f-30-01-2026.pdf?sfvrsn=8ef043dc_4,Official TER source
16,SBI Mutual Fund – Tax Reckoner FY 2025–26,SBI Mutual Fund,Tax facts,https://www.sbimf.com/docs/default-source/pdf/sbi-mf-tax-reckoner-fy-2025-26.pdf?sfvrsn=f6bf4c79_4,Official tax reference
17,SBI Mutual Fund – Statement of Additional Information,SBI Mutual Fund,Investor / account information,https://www.sbimf.com/docs/default-source/documents/statement-of-additional-information.pdf,Official investor-information source
18,SBI Mutual Fund – Equity/Hybrid/Index/Solution KIM & Application Information,SBI Mutual Fund,Investor / statement / MFCentral information,https://www.sbimf.com/docs/default-source/pdf/form/investor/under-financial-transaction/common-application-form-with-kim/kim-common-application-form---equity-hybrid-index-and-solution-oriented.pdf?sfvrsn=b8d39976_2,Official investor-information source
19,SBI Mutual Fund – SIP Calculator & Information,SBI Mutual Fund,SIP facts / minimum SIP context,https://www.sbimf.com/financial-planning-calculators/sip-calculator,Official SIP information
20,SBI Mutual Fund – SWP Calculator / Tax Information,SBI Mutual Fund,Tax / transaction facts,https://www.sbimf.com/financial-planning-calculators/swp-calculator,Official supporting source
21,SBI Mutual Fund – SmartAssist,SBI Mutual Fund,FAQ topic discovery,https://www.sbimf.com/smartassist/,Official FAQ/discovery source
22,SBI Mutual Fund – Equity Mutual Funds Directory,SBI Mutual Fund,Scheme/category verification,https://www.sbimf.com/mutual-fund/equity-mutual-funds,Official scheme directory
